Rank,Player,Team,Position,Age,PassCompletions,PassAttempts,PassYards,PassTouchdowns,Interceptions,RushAttempts,RushYards,RushYardsPerAttempt,RushTouchdowns,PassTargets,Receptions,ReceivingYards,ReceivingYardsPerAttempt,ReceivingTouchdowns,Fumbles,FumblesLost,Touchdowns,PPR,PositionRank,OverallRank,ID
258,Harrison Bryant,CLE,TE,25,0,0,0,0,0,5,8,1.6,0,15,10,61,6.1,3,1,1,3,32.9,39,,BryaHa00
259,Dalvin Cook,NYJ,RB,28,0,0,0,0,0,59,197,3.34,0,18,13,77,5.92,0,2,2,0,36.4,69,,CookDa01
260,Darrynton Evans,2TM,RB,25,0,0,0,0,0,32,121,3.78,1,12,7,49,7,0,0,0,1,30,70,,EvanDa02
261,Tanner Hudson,CIN,TE,29,0,0,0,0,0,0,0,,0,31,26,228,8.77,0,0,0,0,48.8,40,,HudsTa00
262,Allen Robinson,PIT,WR,30,0,0,0,0,0,0,0,,0,41,27,225,8.33,0,0,0,0,49.5,108,,RobiAl02
263,Josh Oliver,MIN,TE,26,0,0,0,0,0,0,0,,0,18,16,118,7.38,2,1,1,2,37.8,41,,OlivJo00
264,Tre Tucker,LVR,WR,22,0,0,0,0,0,7,63,9,0,18,8,161,20.13,0,0,0,0,30.4,109,,TuckTr00
265,Jamison Crowder,WAS,WR,30,0,0,0,0,0,0,0,,0,18,15,151,10.07,1,1,0,1,36.1,112,,CrowJa00
266,Xavier Gipson,NYJ,WR,22,0,0,0,0,0,5,35,7,0,17,12,159,13.25,0,4,2,1,33.4,110,,GipsXa00
267,D'Ernest Johnson,JAX,RB,27,0,0,0,0,0,31,90,2.9,0,9,8,124,15.5,0,0,0,0,29.4,71,,JohnDE04
268,Hunter Renfrow,LVR,WR,28,0,0,0,0,0,0,0,,0,29,22,209,9.5,0,0,0,0,42.9,113,,RenfHu00
269,Drew Sample,CIN,TE,27,0,0,0,0,0,0,0,,0,15,12,93,7.75,2,0,0,2,33.3,42,,SampDr00
